Rank,Animal,Total Stats,Champion Count,Champion Rate
1,非洲獅,30,16199,16.20%
2,藍鯨,31,11552,11.55%
3,大猩猩,30,9949,9.95%
4,美洲野牛,29,9266,9.27%
5,鬣狗,29,9085,9.09%
6,非洲象,30,7777,7.78%
7,山豬,28,7219,7.22%
8,蜜獾,28,5369,5.37%
9,灣鱷,29,5311,5.31%
10,海豚,26,3982,3.98%
11,蘇門答臘虎,28,3768,3.77%
12,麋鹿,26,1999,2.00%
13,獵豹,25,1928,1.93%
14,科摩多龍,26,1630,1.63%
15,北極狐,24,1507,1.51%
16,駱駝,24,772,0.77%
17,非洲野犬,23,735,0.73%
18,長臂猿,23,670,0.67%
19,遊隼,21,406,0.41%
20,紅袋鼠,23,262,0.26%
21,疣豬,23,198,0.20%
22,黑斑羚,19,103,0.10%
23,貓頭鷹,19,76,0.08%
24,黃鼠狼,18,49,0.05%
25,豪豬,18,47,0.05%
26,穿山甲,17,45,0.04%
27,狐獴,17,41,0.04%
28,食蟻獸,19,20,0.02%
29,大耳狐,17,19,0.02%
30,鴨嘴獸,18,16,0.02%
31,火雞,13,0,0.00%
32,樹懶,13,0,0.00%
